smiles,gap_reward,sim_reward,reward,C,uncertainty
Cc1nc2c(nc1C)c1c(ncc3c4sc(-c5ccc(-c6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)[nH]6)c6nsnc56)c(C)c4n(C)c31)c1ncc3c4sc(-c5ccc(-c6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)[nH]6)c6nsnc56)c(C)c4n(C)c3c12,2.3597395938464274,0.35135135135135137,-4.643523377630212,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(Cl)cc(Br)cc5C4=C(C#N)C#N)s3)[nH]2)sc2c1oc1c2ncc2c3cnc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9c(Cl)cc(Br)cc9C8=C(C#N)C#N)s7)[nH]6)sc54)c3c(F)c(F)c21,2.3889830233922402,0.3,-4.33898302339224,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Cl)cc5C4=C(C#N)C#N)c4nsnc34)s2)ccc2c1cnc1c2ccc2c3ccc4c5ccc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Cl)cc9C8=C(C#N)C#N)c8nsnc78)s6)c(C)c5cnc4c3c3ccccc3c21,2.4309809087802416,0.3018867924528302,-4.393245059723638,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[nH]2)sc2c1oc1c2ncc2c3cnc4c(oc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)[nH]6)sc54)c3c3ccccc3c21,2.391867262828666,0.27358490566037735,-4.170169149621119,0.53,0
Cc1c(C=C2C(=O)c3cscc3C2=C(C#N)C#N)ncc2c3cnc4c5ncc6c7cnc(C=C8C(=O)c9cscc9C8=C(C#N)C#N)c(C)c7n(C)c6c5c5ccccc5c4c3n(C)c12,3.0492618785948546,0.3595505617977528,-5.386340530280248,0.53,0
Cc1c(-c2ccc(C=C3C(=O)c4cc(Cl)c(Br)cc4C3=C(C#N)C#N)[nH]2)sc2c1ccc1c2ncc2c3cnc4c(ccc5c(C)c(-c6ccc(C=C7C(=O)c8cc(Cl)c(Br)cc8C7=C(C#N)C#N)[nH]6)sc54)c3c3nonc3c21,2.651972533312702,0.25688073394495414,-4.321697303954904,0.53,0
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)ncc2c1ncc1c2ccc2c3ccc4c5cnc(-c6ccc(C=CC=CC=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)s6)c(C)c5ncc4c3c3nonc3c12,2.3500112069560934,0.3465346534653465,-4.602486454480846,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(Cl)cc(Br)cc5C4=C(C#N)C#N)[nH]3)[nH]2)oc2c1sc1c2cnc2c3ncc4c5oc(-c6ccc(-c7ccc(C=C8C(=O)c9c(Cl)cc(Br)cc9C8=C(C#N)C#N)[nH]7)[nH]6)c(C)c5sc4c3c(F)c(F)c21,2.3960411028541504,0.2818181818181818,-4.227859284672332,0.53,0
Cc1c(-c2ccc(C=C3C(=O)c4c(ccc(Br)c4Cl)C3=C(C#N)C#N)[nH]2)sc2c1ncc1c2sc2c3sc4c(cnc5c(C)c(-c6ccc(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)[nH]6)sc54)c3c(F)c(F)c12,2.7031109467029486,0.2830188679245283,-4.542733588212382,0.53,0
Cc1c(C=C2C(=O)c3cc4sccc4cc3C2=C(C#N)C#N)ccc2c1ncc1c2cnc2c3ncc4c5ccc(C=C6C(=O)c7cc8sccc8cc7C6=C(C#N)C#N)c(C)c5ncc4c3c(F)c(F)c12,3.302135590460917,0.2727272727272727,-5.074862863188189,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)c3nsnc23)sc2c1oc1c3c4nonc4c4c5oc6c(C)c(C=CC=Cc7ccc(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)c8nsnc78)sc6c5n(C)c4c3n(C)c12,1.8803777698575983,0.3627450980392157,-4.238220907112501,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)[nH]3)s2)cnc2c1sc1c2sc2c3sc4c5ncc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Br)cc9C8=C(C#N)C#N)[nH]7)s6)c(C)c5sc4c3c3nonc3c12,2.656564595741812,0.2641509433962264,-4.373545727817284,0.53,0
Cc1nc2c(nc1C)c1c(ccc3c4ccc(-c5ccc(-c6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)s6)c6nsnc56)c(C)c4cnc31)c1ccc3c4ccc(-c5ccc(-c6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)s6)c6nsnc56)c(C)c4cnc3c12,2.612955862418967,0.4421052631578947,-5.486640072945283,0.53,0
Cc1c(-c2ccc(C=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)cc2)ccc2c1cnc1c2oc2c3oc4c5ccc(-c6ccc(C=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)cc6)c(C)c5cnc4c3c3nonc3c12,3.1236766114697057,0.24770642201834864,-4.733768354588972,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cscc5C4=C(C#N)C#N)cc3)c3nsnc23)ccc2c3cnc4c5ncc6c7ccc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cscc%11C%10=C(C#N)C#N)cc9)c9nsnc89)c(C)c7n(C)c6c5c5nccnc5c4c3n(C)c12,3.047224284512109,0.3673469387755102,-5.434979386552925,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Cl)c(Br)cc5C4=C(C#N)C#N)cc3)cc2)n(C)c2c1ncc1c2sc2c3sc4c(cnc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Cl)c(Br)cc9C8=C(C#N)C#N)cc7)cc6)n(C)c54)c3c3nn(C)nc3c12,3.0399187369991396,0.29906542056074764,-4.983843970643999,0.53,0
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Cl)c(Br)cc4C3=C(C#N)C#N)s2)cnc2c1ccc1c3c4nonc4c4c5ccc6c(C)c(-c7ccc(C=CC=CC=C8C(=O)c9cc(Cl)c(Br)cc9C8=C(C#N)C#N)s7)cnc6c5n(C)c4c3n(C)c12,2.4582594056699327,0.40594059405940597,-5.096873267056072,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4c(ccc(Br)c4Cl)C3=C(C#N)C#N)c3nsnc23)cnc2c3oc4c5oc6c7ncc(C=CC=Cc8ccc(C=C9C(=O)c%10c(ccc(Br)c%10Cl)C9=C(C#N)C#N)c9nsnc89)c(C)c7n(C)c6c5c(F)c(F)c4c3n(C)c12,2.2603411376948253,0.42,-4.990341137694825,0.53,0
Cc1c(C=C2C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)cnc2c1ccc1c3c4ccccc4c4c5ccc6c(C)c(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)cnc6c5n(C)c4c3n(C)c12,2.8406931222788554,0.3655913978494624,-5.217037208300361,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Cl)c(Br)cc5C4=C(C#N)C#N)cc3)[nH]2)cnc2c1ncc1c2ncc2c3cnc4c(cnc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Cl)c(Br)cc9C8=C(C#N)C#N)cc7)[nH]6)cnc54)c3c(F)c(F)c21,2.8219896518653584,0.2616822429906542,-4.522924231304611,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2)cnc2c1ncc1c2ccc2c3ccc4c(cnc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc6)cnc54)c3c(F)c(F)c12,2.82046432084031,0.2857142857142857,-4.677607177983167,0.53,0
Cc1c(C=C2C(=O)c3cc(Cl)c(Br)cc3C2=C(C#N)C#N)n(C)c2c1ncc1c2oc2c3oc4c(cnc5c(C)c(C=C6C(=O)c7cc(Cl)c(Br)cc7C6=C(C#N)C#N)n(C)c54)c3c3nn(C)nc3c12,2.6437514518242735,0.336734693877551,-4.832526962028355,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Cl)cc5C4=C(C#N)C#N)c4nsnc34)c3nsnc23)n(C)c2c1oc1c2ncc2c3cnc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Cl)cc9C8=C(C#N)C#N)c8nsnc78)c7nsnc67)n(C)c54)c3c3nonc3c21,2.3124209357603878,0.3302752293577982,-4.459209926586076,0.53,0
Cc1c(-c2ccc(C=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)c3nsnc23)ccc2c1cnc1c2sc2c3sc4c5ccc(-c6ccc(C=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)c7nsnc67)c(C)c5cnc4c3c(F)c(F)c12,2.9175014203601526,0.2897196261682243,-4.80067899045361,0.53,0
Cc1c(-c2ccc(C=C3C(=O)c4cc(Cl)c(Br)cc4C3=C(C#N)C#N)c3nsnc23)cnc2c1ccc1c2sc2c3sc4c(ccc5c(C)c(-c6ccc(C=C7C(=O)c8cc(Cl)c(Br)cc8C7=C(C#N)C#N)c7nsnc67)cnc54)c3c3nonc3c12,2.84360488921729,0.3018867924528302,-4.805869040160687,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)c4nsnc34)[nH]2)ccc2c1cnc1c2ncc2c3cnc4c5ccc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)c8nsnc78)[nH]6)c(C)c5cnc4c3c(F)c(F)c21,2.2458191926500133,0.28703703703703703,-4.111559933390754,0.53,0
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(csc4Cl)C3=C(C#N)C#N)cc2)ncc2c1ccc1c2ncc2c3cnc4c5cnc(-c6ccc(C=CC=CC=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)cc6)c(C)c5ccc4c3c(F)c(F)c21,2.707160144435071,0.5056179775280899,-5.993676998367656,0.53,0
Cc1c(C=C2C(=O)c3cc(C(F)(F)F)ccc3C2=C(C#N)C#N)oc2c1oc1c2ccc2c3ccc4c5oc(C=C6C(=O)c7cc(C(F)(F)F)ccc7C6=C(C#N)C#N)c(C)c5oc4c3c3nonc3c21,2.4692908075665487,0.25,-4.094290807566549,0.53,0
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)[nH]2)sc2c1ncc1c2ccc2c3ccc4c(cnc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)[nH]6)sc54)c3c3nonc3c12,2.097430306665974,0.3584905660377358,-4.427618985911257,0.53,0
Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cnc2c1ccc1c2oc2c3oc4c(ccc5c(C)c(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cnc54)c3c3nonc3c12,3.1031937745050033,0.25773195876288657,-4.778451506463766,0.53,0
Cc1nc2c(nc1C)c1c3sc4c(C)c(C=C5C(=O)c6c(ccc(Br)c6Cl)C5=C(C#N)C#N)oc4c3n(C)c1c1c2c2sc3c(C)c(C=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)oc3c2n1C,2.248899198737785,0.3541666666666667,-4.550982532071119,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cscc4C3=C(C#N)C#N)s2)sc2c1sc1c2cnc2c3ncc4c5sc(C=CC=Cc6ccc(C=C7C(=O)c8cscc8C7=C(C#N)C#N)s6)c(C)c5sc4c3c3nn(C)nc3c21,2.2612819634360903,0.32,-4.34128196343609,0.53,0
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cscc3C2=C(C#N)C#N)sc2c1ncc1c2cnc2c3ncc4c(cnc5c(C)c(C=CC=CC=CC=CC=C6C(=O)c7cscc7C6=C(C#N)C#N)sc54)c3c3nn(C)nc3c12,2.189412686096031,0.4111111111111111,-4.861634908318253,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sc(Br)cc6cc5C4=C(C#N)C#N)s3)s2)ncc2c1ncc1c2ncc2c3cnc4c5cnc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sc(Br)cc%10cc9C8=C(C#N)C#N)s7)s6)c(C)c5ncc4c3c3nonc3c21,2.527398709371629,0.24324324324324326,-4.10847979045271,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)c4nsnc34)cc2)n(C)c2c3cnc4c5ncc6c7c(c(C)c(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc%12sccc%12cc%11C%10=C(C#N)C#N)c%10nsnc9%10)cc8)n7C)n(C)c6c5c5nonc5c4c3n(C)c12,2.661771345893456,0.33636363636363636,-4.8481349822570925,0.53,0
Cc1nc2c(nc1C)c1c3ncc4c(C)c(-c5ccc(-c6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)[nH]6)cc5)sc4c3oc1c1oc3c(ncc4c(C)c(-c5ccc(-c6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)[nH]6)cc5)sc43)c21,2.72222956538279,0.3557692307692308,-5.03472956538279,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)s3)[nH]2)ncc2c1cnc1c2ncc2c3cnc4c5cnc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)s7)[nH]6)c(C)c5cnc4c3c3nonc3c21,2.4748016178419103,0.2702702702702703,-4.231558374598667,0.53,0
