smiles,gap_dft
O=C1C(=CC2=c3cc4c(cc3-c3c2sc2ccccc32)=C(C2=NC=C(c3nnnc(CBr)n3)C2)c2sc3ccccc3c2-4)C(=O)c2cc3ccccc3cc21,0.731
c1ccc2c(c1)CCCC2=NCc1nc(C2=c3cc4c(cc3-c3ccsc32)=C(c2sc(-c3ccnnn3)c3c2CCC3)c2sc3cc5ccccc5cc3c2-4)n[nH]1,1.104
C1=CC2N=C(C3CC4CC3CC4CSSCC3=c4cc5cc6c(cc5cc4-c4sc5ccccc5c43)=C(c3nc4c(s3)=CCC=CCC=4)c3c-6sc4ccccc34)OC2C=C1,1.44
[C-]#[N+]C(C#N)C(C#CC#CC1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C=CC(=O)OCCC)c1sc2ccccc2c1-3)c1ncnnn1,0.859
CC(O[Si](C)(C)C(C)(C)C)C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(c1cc(-c2ccc(C4=CCCCC4=O)o2)on1)c1sc2ccccc2c1-3,1.044
O=C1Cc2cc(C3=c4cc5cc6c(cc5cc4C4=C3c3ccccc3S4=O)=C(C3CCc4nc(C5=CN=C(c7cncc8nsnc78)C5)sc43)C3=C6S(=O)(=O)c4ccccc43)ccc2N1,1.279
CC(C#N)=CC=Cc1cc2sc(C3=NC=CC3C3=c4cc5cc6c(cc5cc4-c4c3sc3ccccc43)=C(c3cc4c([nH]c5ccccc54)c4c3C=CCC4)c3sc4ccccc4c3-6)nc2s1,1.377
CCC(=C(CC)N(CC)CC)c1ncnc(C2=c3cc4cc5c(cc4cc3-c3c2n(C(=O)C(C)Cl)c2ccccc32)=C(c2nc(=O)[nH]cc2COCOC)c2c-5c3ccccc3n2C(=O)C(C)Cl)n1,1.09
COC(=O)C(Br)C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(c1ncsc1C1(C(=O)CCCCO)C=CC(=O)C=C1)c1sc2ccccc2c1-3,1.175
O=C1c2ccccc2-c2nc(C3=NC=CC3C3=c4cc5c(cc4-c4c3sc3cc6ccccc6cc43)=C(C3=C=CC(C4c6ccccc6-n6c4nc4ccccc46)=CN3)c3sccc3-5)ncc21,1.134
