smiles,gap_dft
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(Cl)cc(Br)cc5C4=C(C#N)C#N)c4nsnc34)[nH]2)oc2c3oc4c5oc6c7oc(-c8ccc(-c9ccc(C=C%10C(=O)c%11c(Cl)cc(Br)cc%11C%10=C(C#N)C#N)c%10nsnc9%10)[nH]8)c(C)c7n(C)c6c5c5nonc5c4c3n(C)c12,1.826
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cscc5C4=C(C#N)C#N)[nH]3)c3nsnc23)n(C)c2c1sc1c3c4ccccc4c4c5sc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10cscc%10C9=C(C#N)C#N)[nH]8)c8nsnc78)n(C)c6c5n(C)c4c3n(C)c12,2.095
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)oc2c3oc4c5oc6c7oc(C=CC=CC=CC=CC=C8C(=O)c9cc(Cl)c(Cl)cc9C8=C(C#N)C#N)c(C)c7n(C)c6c5c5nccnc5c4c3n(C)c12,1.527
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)c3nsnc23)n(C)c2c1oc1c2oc2c3oc4c(oc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)c7nsnc67)n(C)c54)c3c3ccccc3c21,2.071
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)s3)s2)sc2c1oc1c2oc2c3oc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Cl)c(Cl)cc9C8=C(C#N)C#N)s7)s6)sc54)c3c3nn(C)nc3c12,2.175
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[nH]2)oc2c1n(C)c1c3c(F)c(F)c4c5c(c6oc(-c7ccc(C=CC=CC=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)[nH]7)c(C)c6n5C)n(C)c4c3n(C)c21,1.626
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Br)c(Cl)cc4C3=C(C#N)C#N)s2)oc2c1oc1c2oc2c3oc4c5oc(-c6ccc(C=CC=CC=C7C(=O)c8cc(Br)c(Cl)cc8C7=C(C#N)C#N)s6)c(C)c5oc4c3c3nsnc3c12,1.938
Cc1nc2c(nc1C)c1c3oc4c(C)c(C=C5C(=O)c6c(ccc(Br)c6Cl)C5=C(C#N)C#N)n(C)c4c3n(C)c1c1c2c2oc3c(C)c(C=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)n(C)c3c2n1C,2.193
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)c3nsnc23)n(C)c2c1oc1c2oc2c3oc4c(oc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)c7nsnc67)n(C)c54)c3c(F)c(F)c21,1.797
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cscc4C3=C(C#N)C#N)s2)n(C)c2c1n(C)c1c3c(F)c(F)c4c5c(c6c(c(C)c(C=CC=Cc7ccc(C=C8C(=O)c9cscc9C8=C(C#N)C#N)s7)n6C)n5C)n(C)c4c3n(C)c21,1.717
