smiles,homo,gap,lumo
Cc1c(C=C2C(=O)c3cc(Cl)c(Br)cc3C2=C(C#N)C#N)n(C)c2c1oc1c2ncc2c3cnc4c(oc5c(C)c(C=C6C(=O)c7cc(Cl)c(Br)cc7C6=C(C#N)C#N)n(C)c54)c3c3ccccc3c21,-7.90743801583465,2.539,-2.3646693608450002
Cc1c(-c2ccc(C=C3C(=O)c4c(ccc(Br)c4Cl)C3=C(C#N)C#N)s2)ncc2c1oc1c2sc2c3sc4c5cnc(-c6ccc(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)s6)c(C)c5oc4c3c3ccccc3c12,-7.675705860748851,2.641,-2.2853209620392003
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)s3)[nH]2)ccc2c1oc1c3c4nonc4c4c5oc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10cc(Br)c(Br)cc%10C9=C(C#N)C#N)s8)[nH]7)ccc6c5n(C)c4c3n(C)c21,-7.146580478451599,2.416,-2.19794520464365
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)[nH]3)s2)n(C)c2c1ncc1c2sc2c3sc4c(cnc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Br)cc9C8=C(C#N)C#N)[nH]7)s6)n(C)c54)c3c3nccnc3c12,-7.406285937368799,2.561,-2.117589984591
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cscc5C4=C(C#N)C#N)[nH]3)cc2)ncc2c1ncc1c3c4nsnc4c4c5cnc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10cscc%10C9=C(C#N)C#N)[nH]8)cc7)ncc6c5n(C)c4c3n(C)c21,-7.730346321929249,2.818,-1.8616669081957502
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Cl)c(Br)cc4C3=C(C#N)C#N)s2)ccc2c1n(C)c1c3c4nsnc4c4c5c(c6ccc(-c7ccc(C=CC=CC=C8C(=O)c9cc(Cl)c(Br)cc9C8=C(C#N)C#N)s7)c(C)c6n5C)n(C)c4c3n(C)c21,-6.8675549361489,2.177,-2.2973483942313
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cscc4C3=C(C#N)C#N)[nH]2)sc2c1ncc1c2sc2c3sc4c(cnc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cscc8C7=C(C#N)C#N)[nH]6)sc54)c3c3nsnc3c12,-7.35493805377945,2.24,-2.3197433641274503
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cscc4C3=C(C#N)C#N)[nH]2)sc2c1sc1c2ccc2c3ccc4c5sc(-c6ccc(C=CC=CC=C7C(=O)c8cscc8C7=C(C#N)C#N)[nH]6)c(C)c5sc4c3c3ccccc3c21,-7.1273692406063,2.101,-2.2332927938236002
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cscc4C3=C(C#N)C#N)c3nsnc23)oc2c1ccc1c2oc2c3oc4c(ccc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cscc8C7=C(C#N)C#N)c7nsnc67)oc54)c3c3nn(C)nc3c12,-7.27090929674505,2.22,-2.34488668391365
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)cc3)cc2)oc2c1ncc1c3c4nonc4c4c5cnc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10cc(Br)c(Br)cc%10C9=C(C#N)C#N)cc8)cc7)oc6c5n(C)c4c3n(C)c12,-7.54090065921115,2.995,-2.27674937574845
